ID_ENTIDAD,NOMBRE_ENTIDAD,CANTIDAD_DEUDORES,MONTO_TOTAL,MONTO_PREVISIONES,MONTO_SIT_1,MONTO_SIT_2,MONTO_SIT_3,MONTO_SIT_4,MONTO_SIT_5,MONTO_SIT_11
55049,Surfinan S.A.,1623,399577.0,0.0,58351.0,8577.0,17205.0,87275.0,228169.0,0.0
55052,Asociación Mututal 18 de Julio,10181,53851251.0,0.0,44777858.0,4904017.0,1830516.0,903569.0,1435291.0,0.0
55054,Crédito Directo S.A.,110557,123366627.0,0.0,66965448.0,11010386.0,14764822.0,22828391.0,7797580.0,0.0
55057,Mutual Integral de Servicios,1281,3253461.0,0.0,3094300.0,83370.0,26794.0,24176.0,24821.0,0.0
55060,"Gran Cooperativa de Crédito, Vivienda, Consumo y Servicios Sociales Li",8376,5515472.0,0.0,3980128.0,287469.0,447819.0,642791.0,157265.0,0.0
55061,Radio Sapienza S.A.,819,231933.0,0.0,20079.0,43499.0,160584.0,5609.0,2162.0,0.0
55063,Uninverc S.A.,6058,55227321.0,0.0,51291375.0,2414692.0,732679.0,568687.0,219888.0,0.0
55067,Amargot Créditos y Servicios S.A.,325,40654.0,0.0,3032.0,569.0,365.0,5435.0,31253.0,0.0
55068,Hendel Hogar S.A.,25406,13740807.0,0.0,9774309.0,140736.0,187482.0,1375040.0,2263240.0,0.0
55073,Oportunidad Microfinanciera Latinoamericana OMLA S.A.,2731,2985478.0,0.0,2310880.0,210222.0,87605.0,71285.0,305486.0,0.0
55075,IDUN INVERSIONES S.A.,1414,460236.0,0.0,84576.0,19729.0,90231.0,99537.0,166163.0,0.0
55076,Grupo Prestafácil S.A.,2912,3972276.0,0.0,3692096.0,63584.0,39703.0,88809.0,88084.0,0.0
55077,Asociación Mutual de Escribanos,1980,1779697.0,0.0,1366892.0,43422.0,140214.0,147932.0,81237.0,0.0
55080,DAP Cooperativa de Crédito y Consumo Ltda.,11632,7264829.0,0.0,5977496.0,324245.0,201695.0,221490.0,539903.0,0.0
55082,Asociación Mutual de Pensionados Sociales Ley 5110,10051,2582414.0,0.0,2439684.0,742.0,45.0,88925.0,53018.0,0.0
55083,AGL CAPITAL S.A.,4652,5566879.0,0.0,3169991.0,407449.0,108723.0,217979.0,1662737.0,0.0
55085,Moni Online S.A.,81091,36654445.0,0.0,12705522.0,2702034.0,3237308.0,9529301.0,8480280.0,0.0
55086,Asociación Mutual Asis,4636,1987123.0,0.0,1542564.0,143957.0,103414.0,119867.0,77321.0,0.0
55087,Préstamos Bam S.A.,978,7931886.0,0.0,47024.0,2229.0,4687.0,56638.0,7821308.0,0.0
55088,Asociación Mutual de Docentes de la Provincia del Chaco,9196,4755227.0,0.0,4451760.0,63289.0,133442.0,106736.0,0.0,0.0
55090,DILCAR S.A.,10335,4741001.0,0.0,3495890.0,402218.0,269459.0,374352.0,199082.0,0.0
55091,CREDIAR S.A.,26300,31088354.0,0.0,7544933.0,2571498.0,4280717.0,8473764.0,8217442.0,0.0
55092,Dante Tanino Hogar S.A.,3069,1137644.0,0.0,980196.0,875.0,62954.0,62828.0,30791.0,0.0
55093,FINANCOMP S.A.,3628,1898337.0,0.0,818948.0,221925.0,225651.0,267681.0,364132.0,0.0
55094,Genesys S.A.,1656,1300958.0,0.0,1300958.0,0.0,0.0,0.0,0.0,0.0
55095,CRENAC S.A.,5469,2071492.0,0.0,715500.0,81270.0,212635.0,563536.0,498551.0,0.0
55096,FINANCIACIONES CUYO S.A.,21245,4402537.0,0.0,2121233.0,307797.0,494866.0,891261.0,587380.0,0.0
55098,CONSUMO S.A.,5134,5700670.0,0.0,1243799.0,227466.0,816836.0,2285643.0,1126926.0,0.0
55100,BAZAR AVENIDA S.A.,81807,71232594.0,0.0,22546684.0,2433441.0,8610499.0,24082430.0,13559540.0,0.0
55105,Ceibo Créditos S.A.,25065,45105588.0,0.0,27679853.0,6108997.0,7964533.0,3340593.0,11612.0,0.0
55107,ARGENCRED S.A.,91243,30371269.0,0.0,11850054.0,1563320.0,4289965.0,7822115.0,4845815.0,0.0
